person_id,name,normalized_key,total_talks,first_year,last_year,initials_only,best_alias_target,best_alias_rule,best_alias_confidence,curation_status
PERS_c58aa839,В. Видунас,видунас в,15,2004,2019,1,,,,
PERS_0ca995ac,В. М. Яковлев,яковлев в м,8,2008,2018,1,,,,
PERS_c0d95426,А. Бейнорюс,бейнорюс а,4,2004,2015,1,,,,
PERS_f8e06692,В. Коробов,коробов в,4,2011,2016,1,Коробов Владимир Борисович,initial_prefix,high,review
PERS_b6d1bf05,В. С. Дылыкова,дылыкова в с,4,2017,2021,1,,,,
PERS_3e952361,А. Н. Хохлов,хохлов а н,3,2008,2012,1,,,,
PERS_f7c7adc7,В. В. Донских,донских в в,3,2015,2017,1,,,,
PERS_3b190078,В. Яскунас,яскунас в,3,2007,2012,1,,,,
PERS_800ac07e,А. А. Нейвирт,нейвирт а а,2,2010,2015,1,,,,
PERS_7bbed51a,А. Л. Сладков,сладков а л,2,2004,2009,1,,,,
PERS_3ccc9bd7,А. Солька,солька а,2,2021,2024,1,,,,
PERS_929cab5a,Ю. В. Предтеченская,предтеченская ю в,2,2008,2009,1,,,,
PERS_f2a6e31a,A. Х. Шoмaxмадов,шoмaxмадов а х,1,2006,2006,1,,,,
PERS_bbd15f4f,А. А. Степин,степин а а,1,2024,2024,1,,,,
PERS_675f37f0,А. Бабин,бабин а,1,2019,2019,1,Бабин Александр Николаевич,initial_prefix,high,review
PERS_d17a6a92,А. В. Киняева,киняева а в,1,2024,2024,1,,,,
PERS_b9a0e40c,А. В. Осокин,осокин а в,1,2024,2024,1,,,,
PERS_9f159bcf,А. Ковалевская,ковалевская а,1,2019,2019,1,,,,
PERS_410c5a08,А. Хомиченкене,хомиченкене а,1,2004,2004,1,,,,
PERS_37c15317,А. Э. Калина,калина а э,1,2024,2024,1,,,,
PERS_c1cc76b9,А. Я. Таран,таран а я,1,2015,2015,1,,,,
PERS_839d97c7,Б. И. Загумённов,загумённов б и,1,2009,2009,1,,,,
PERS_325e94f3,В. В. Котин,котин в в,1,2017,2017,1,,,,
PERS_85a048b8,В. Л. Денисенко,денисенко в л,1,2023,2023,1,,,,
PERS_5d52a475,Г. С. Шарыгин,шарыгин г с,1,2009,2009,1,,,,
PERS_5af1c05a,Г. Стукалин,стукалин г,1,2018,2018,1,Стукалин Глеб Дмитриевич,initial_prefix,high,review
PERS_79ed852e,Д. А. Евграфов,евграфов д а,1,2024,2024,1,,,,
PERS_940c556e,Д. А. Шереметьев,шереметьев д а,1,2017,2017,1,,,,
PERS_d018b6eb,Д. Валанчюнас,валанчюнас д,1,2007,2007,1,,,,
PERS_c9e43db7,Е. А. Бушуев,бушуев е а,1,2015,2015,1,,,,
PERS_4831e64b,Е. Анохина,анохина е,1,2008,2008,1,,,,
PERS_14dec06b,Е. Б. Кудрявцева,кудрявцева е б,1,2016,2016,1,,,,
PERS_04a4bbbb,Е. И. Малоземова,малоземова е и,1,2018,2018,1,,,,
PERS_e8f935aa,Е. К. Кудрявцева,кудрявцева е к,1,2015,2015,1,,,,
PERS_5d38cbae,Е. Н. Аникеева,аникеева е н,1,2008,2008,1,,,,
PERS_3f406fe3,Е. Р. Кравцова,кравцова е р,1,2024,2024,1,,,,
PERS_c5aeda15,И. А. Урнова,урнова и а,1,2009,2009,1,,,,
PERS_a4c4c35e,И. В. Калинина,калинина и в,1,2016,2016,1,,,,
PERS_ac7e1d48,И. Рыжакова,рыжакова и,1,2012,2012,1,Рыжакова Светлана Игоревна,patronymic_initial_only,medium,review
PERS_7853fddb,И. Урнова,урнова и,1,2008,2008,1,,,,
PERS_1955e9e8,К. Гаралите,гаралите к,1,2011,2011,1,,,,
PERS_045c435e,К. Джункова,джункова к,1,2018,2018,1,,,,
PERS_300654cc,К. Маретина,маретина к,1,2010,2010,1,Маретина Ксения Александровна,initial_prefix,high,review
PERS_ddb70dc9,М. А. Азаркина,азаркина м а,1,2015,2015,1,,,,
PERS_57082cac,М. А. Овчинникова,овчинникова м а,1,2025,2025,1,,,,
PERS_d851ac20,М. В. Вершинина,вершинина м в,1,2025,2025,1,,,,
PERS_ba7b23ae,М. Демченко,демченко м,1,2016,2016,1,Демченко Максим Борисович,initial_prefix,high,review
PERS_ba537782,М. И. Петрова,петрова м и,1,2004,2004,1,,,,
PERS_0900c3c4,М. М. Фиалко,фиалко м м,1,2013,2013,1,,,,
PERS_fc2af3f1,М. Н. Кожевникова,кожевникова м н,1,2017,2017,1,,,,
PERS_56e6d363,М. Павлова,павлова м,1,2024,2024,1,Павлова Мария Борисовна,initial_prefix,high,review
PERS_cea040bb,М. Рамдхари,рамдхари м,1,2019,2019,1,,,,
PERS_fa58484d,Н. А. Александрова,александрова н а,1,2016,2016,1,,,,
PERS_377db63e,Н. А. Седукова,седукова н а,1,2026,2026,1,,,,
PERS_0a42bfb2,Н. В. Хомутинникова,хомутинникова н в,1,2004,2004,1,,,,
PERS_f55cf2d5,Н. Краснодембская,краснодембская н,1,2021,2021,1,Краснодембская Нина Георгиевна,initial_prefix,high,review
PERS_0da9b0dd,О. В. Вечерина,вечерина о в,1,2016,2016,1,,,,
PERS_ebc1c3c2,О. В. Лундышева,лундышева о в,1,2025,2025,1,,,,
PERS_5e6bef63,П. Лужинская,лужинская п,1,2024,2024,1,Лужинская Полина Александровна,initial_prefix,high,review
PERS_dd17649f,Р. В. Светлов,светлов р в,1,2016,2016,1,,,,
PERS_c9d44ed0,С. А. Пахомов,пахомов с а,1,2004,2004,1,,,,
PERS_72d46eb6,С. С. Чистяков,чистяков с с,1,2017,2017,1,,,,
PERS_48b3bec3,Ч. Санчай,санчай ч,1,2024,2024,1,,,,
PERS_752884a2,Ш. Макмахуна,макмахуна ш,1,2017,2017,1,,,,
PERS_23abae7d,Ю. Г. Пушкарева,пушкарева ю г,1,2026,2026,1,,,,
