PersonID,DisplayName,RoerichTalks,FirstYearSeen,LastYearSeen
PERS_e9545a0b,А. М. Шустова,12,2012,2025
PERS_6578b52d,Е. В. Тюлина,12,2012,2025
PERS_9374fd12,Е. Г. Вырщиков,12,2012,2025
PERS_da862dde,Ю. И. Дробышев,11,2015,2025
PERS_ea44fd14,А. Г. Люлина,9,2017,2025
PERS_5ed752d9,Б. У. Китинов,9,2016,2025
PERS_5d324297,К. П. Шрестха,9,2012,2020
PERS_2fd442aa,С. Ч. Офертас,9,2015,2025
PERS_d2559ba1,Е. С. Лепехова,6,2012,2020
PERS_554c138a,Г. Г. Хмуркин,4,2015,2020
PERS_45a76880,Д. А. Кораблин,4,2021,2024
PERS_db0a826b,И.Н. Комарова,4,2012,2018
PERS_3c7d41ac,М.С. Фомин,4,2012,2021
PERS_06ee047f,Ю. И. Елихина,4,2012,2024
PERS_088c4df7,Ю.Г. Атманова,4,2015,2019
PERS_aebd34a2,А. И. Коган,3,2017,2022
PERS_40375fef,А.К. Васильев,3,2012,2017
PERS_5f6fa17b,А. М. Пахомова,2,2021,2024
PERS_0a2e5f24,В.В. Тишин,2,2012,2015
PERS_cca8f93d,В.М. Немчинов,2,2024,2025
PERS_7da0afff,К.А. Демичев,2,2012,2018
PERS_52d3f72c,М.Б. Мейтарчиян,2,2021,2022
PERS_587b08ec,М.В. Леонов,2,2019,2024
PERS_d4c2cc5e,Т.В. Лучина,2,2024,2025
PERS_51e0a171,А.А. Алешина,1,2016,2016
PERS_2011b78d,А.В. Бондарев,1,2021,2021
PERS_b5dd77b1,А.В. Мрачковская,1,2025,2025
PERS_f619aeed,А.Д. Цендина,1,2025,2025
PERS_ee3448c3,В.В. Деменова,1,2012,2012
PERS_bd77e495,Г.Б. Корнеев,1,2025,2025
PERS_de59a2bc,Г.В. Шарыгин,1,2012,2012
PERS_94aa5d0a,Г.И. Чернавин,1,2025,2025
PERS_3e38ff72,Д.А. Рожнова,1,2024,2024
PERS_2e2b9553,Д.Д. Наймушина,1,2025,2025
PERS_3195408b,Д.Н. Ратушный,1,2025,2025
PERS_526da44f,Д.С. Шапошникова,1,2015,2015
PERS_2095dc59,Е.Г. Шалахов,1,2024,2024
PERS_ecdfe667,Е.О. Новосёлова,1,2023,2023
PERS_04c4d444,Е.С. Юдицкая,1,2012,2012
PERS_fe03c926,И.А. Карышева,1,2015,2015
PERS_c582889e,И.Б. Иткин,1,2025,2025
PERS_6a165aa7,К.В. Хазизова,1,2025,2025
PERS_147ab928,К.Д. Никольская,1,2025,2025
PERS_88e5311f,М.В. Босхомджиев,1,2025,2025
PERS_f1f2471d,М.М. Игнатова,1,2025,2025
PERS_7efcddc6,Н.А. Брылёва,1,2024,2024
PERS_38c5f03f,Н.А. Железнова,1,2018,2018
PERS_a8983673,Н.Л. Вигель,1,2024,2024
PERS_9ddf9210,С.П. Нестеркин,1,2025,2025
PERS_e1d622e5,С.Ф. Мажитов,1,2012,2012
PERS_ed83f502,Т.П. Селиванова,1,2015,2015
PERS_68270eaf,Э.В. Галимова,1,2025,2025
PERS_fc976255,Э.Н. Комаров,1,2012,2012
PERS_d3cb634e,Ю.С. Атманова,1,2017,2017
PERS_dfaf6803,Я.А. Борисов,1,2016,2016
